transaction_id,user_id,amount,merchant,category,timestamp,hour,day_of_week,account_age_days,location_risk,is_fraud
txn_000000,user_5012,24.46,Crypto Exchange,food,2025-09-14 23:17:07.706892,23,6,229,low,0
txn_000001,user_9935,151.51,Unknown Merchant,food,2025-08-24 23:57:07.706950,23,6,90,high,0
txn_000002,user_4811,66.84,Best Buy,retail,2025-09-14 02:13:07.706976,2,6,518,high,1
txn_000003,user_9928,40.0,Amazon,cash,2025-08-23 20:44:07.706995,20,5,430,low,0
txn_000004,user_3615,46.65,Grocery Store,other,2025-09-06 00:48:07.707012,0,5,715,medium,0
txn_000005,user_6514,94.81,Target,gambling,2025-09-10 06:48:07.707031,6,2,105,low,0
txn_000006,user_5333,9.48,Best Buy,food,2025-09-03 11:38:07.707047,11,2,827,low,0
txn_000007,user_7201,3.99,Unknown Merchant,electronics,2025-08-28 03:59:07.707063,3,3,81,high,1
txn_000008,user_4150,101.56,McDonalds,other,2025-08-17 11:36:07.707079,11,6,722,low,0
txn_000009,user_4814,46.95,Amazon,entertainment,2025-08-21 09:05:07.707094,9,3,888,low,0
txn_000010,user_6977,625.63,Best Buy,gambling,2025-08-31 20:53:07.707110,20,6,167,medium,0
txn_000011,user_2169,2.04,Target,entertainment,2025-08-24 08:44:07.707125,8,6,624,high,0
txn_000012,user_7216,200.0,Starbucks,cash,2025-09-07 05:29:07.707139,5,6,277,high,1
txn_000013,user_1916,40.0,Unknown Merchant,cash,2025-08-24 10:53:07.707158,10,6,235,low,0
txn_000014,user_6155,176.18,Target,grocery,2025-09-06 02:13:07.707174,2,5,218,high,1
txn_000015,user_3340,90.32,Grocery Store,grocery,2025-08-17 20:29:07.707189,20,6,272,low,0
txn_000016,user_8019,100.0,Shell Gas,cash,2025-09-06 23:37:07.707206,23,5,920,high,0
txn_000017,user_9085,129.34,Best Buy,crypto,2025-09-07 04:32:07.707219,4,6,94,low,1
txn_000018,user_7916,11.03,Walmart,gas,2025-08-25 05:50:07.707234,5,0,611,low,0
txn_000019,user_5119,11.13,Best Buy,grocery,2025-08-26 14:33:07.707247,14,1,995,high,0
txn_000020,user_5371,19.14,Amazon,food,2025-08-24 17:48:07.707576,17,6,788,high,0
txn_000021,user_8433,38.2,Target,food,2025-09-05 13:10:07.707592,13,4,4,high,1
txn_000022,user_2743,292.77,Unknown Merchant,gambling,2025-08-29 05:32:07.707605,5,4,892,high,1
txn_000023,user_3646,100.0,McDonalds,cash,2025-09-08 04:23:07.707617,4,0,553,high,1
txn_000024,user_2832,18.21,Amazon,other,2025-09-04 15:01:07.707631,15,3,952,medium,0
txn_000025,user_2290,48.32,McDonalds,entertainment,2025-09-13 07:56:07.707655,7,5,88,high,0
txn_000026,user_3060,8.51,Grocery Store,food,2025-08-21 17:49:07.707668,17,3,132,high,0
txn_000027,user_7932,40.0,Grocery Store,cash,2025-09-06 16:55:07.707680,16,5,988,low,0
txn_000028,user_7118,18.28,ATM Withdrawal,entertainment,2025-08-23 09:25:07.707689,9,5,449,high,0
txn_000029,user_6539,23.81,Grocery Store,food,2025-09-07 07:04:07.707697,7,6,22,high,1
txn_000030,user_2163,31.45,ATM Withdrawal,entertainment,2025-08-27 07:00:07.707705,7,2,725,high,0
txn_000031,user_6413,77.9,Amazon,entertainment,2025-09-12 01:55:07.707713,1,4,73,high,1
txn_000032,user_9834,121.37,Shell Gas,gambling,2025-08-24 15:13:07.707723,15,6,136,high,1
txn_000033,user_8749,37.1,Online Casino,other,2025-08-30 07:50:07.707731,7,5,827,medium,0
txn_000034,user_6804,45.88,Shell Gas,food,2025-09-11 21:27:07.707739,21,3,434,medium,0
txn_000035,user_2612,3.38,Grocery Store,retail,2025-08-24 20:41:07.707747,20,6,63,medium,0
txn_000036,user_4139,477.67,Unknown Merchant,crypto,2025-08-20 03:15:07.707755,3,2,195,high,1
txn_000037,user_8579,10.35,Grocery Store,gas,2025-09-01 05:17:07.707763,5,0,256,low,0
txn_000038,user_1241,20.0,Grocery Store,cash,2025-09-13 20:34:07.707770,20,5,993,low,0
txn_000039,user_4502,4.36,Shell Gas,gas,2025-09-01 15:30:07.707778,15,0,886,medium,0
txn_000040,user_5345,149.68,Amazon,gas,2025-09-02 00:24:07.707786,0,1,949,medium,0
txn_000041,user_8973,169.53,McDonalds,grocery,2025-08-23 23:50:07.707794,23,5,159,low,0
txn_000042,user_9883,83.62,McDonalds,entertainment,2025-08-15 01:37:07.707803,1,4,63,high,1
txn_000043,user_9238,19.16,Target,retail,2025-09-13 18:30:07.707810,18,5,942,high,0
txn_000044,user_4044,6.14,Starbucks,retail,2025-08-15 16:05:07.707818,16,4,71,high,0
txn_000045,user_5033,58.64,Walmart,entertainment,2025-09-02 03:56:07.707827,3,1,593,high,1
txn_000046,user_9565,30.0,Amazon,other,2025-09-12 13:42:07.707844,13,4,324,medium,0
txn_000047,user_3144,75.08,Shell Gas,crypto,2025-09-07 08:25:07.707857,8,6,688,high,1
txn_000048,user_8508,35.18,McDonalds,electronics,2025-09-04 02:00:07.707872,2,3,637,high,1
txn_000049,user_5345,2.75,Walmart,food,2025-08-28 06:32:07.707886,6,3,136,medium,0
txn_000050,user_8179,121.02,Walmart,entertainment,2025-09-03 09:10:07.707900,9,2,854,high,0
txn_000051,user_1128,159.73,Unknown Merchant,gambling,2025-08-26 20:33:07.707912,20,1,684,high,1
txn_000052,user_2891,55.31,McDonalds,food,2025-08-15 04:16:07.707930,4,4,912,low,0
txn_000053,user_4450,40.0,Unknown Merchant,cash,2025-09-06 09:38:07.707944,9,5,735,medium,0
txn_000054,user_1832,196.77,Shell Gas,gambling,2025-08-29 15:16:07.707958,15,4,95,high,1
txn_000055,user_3143,377.06,Best Buy,gambling,2025-09-13 00:21:07.707973,0,5,653,medium,1
txn_000056,user_1158,40.56,Starbucks,electronics,2025-08-28 22:27:07.707983,22,3,115,low,0
txn_000057,user_7049,11.22,Unknown Merchant,gas,2025-08-28 01:53:07.707991,1,3,597,high,1
txn_000058,user_6974,175.64,Starbucks,grocery,2025-09-10 01:19:07.708000,1,2,921,low,0
txn_000059,user_2684,75.61,Target,entertainment,2025-08-24 07:42:07.708008,7,6,363,high,0
txn_000060,user_4878,141.25,Best Buy,other,2025-08-22 04:59:07.708017,4,4,886,low,0
txn_000061,user_6442,113.61,Starbucks,grocery,2025-09-14 05:47:07.708025,5,6,802,medium,0
txn_000062,user_2771,46.55,Crypto Exchange,entertainment,2025-09-06 05:50:07.708034,5,5,392,low,0
txn_000063,user_6000,128.47,Grocery Store,entertainment,2025-09-08 14:22:07.708041,14,0,841,low,0
txn_000064,user_6378,5.63,Shell Gas,retail,2025-08-24 06:25:07.708049,6,6,286,low,0
txn_000065,user_9785,119.07,McDonalds,crypto,2025-08-25 16:25:07.708059,16,0,340,low,0
txn_000066,user_1626,33.14,Walmart,gambling,2025-09-09 18:16:07.708069,18,1,112,high,1
txn_000067,user_9379,206.77,Best Buy,crypto,2025-08-22 10:27:07.708084,10,4,119,medium,0
txn_000068,user_8144,25.61,Online Casino,entertainment,2025-09-06 01:45:07.708092,1,5,2,high,1
txn_000069,user_6409,16.83,ATM Withdrawal,entertainment,2025-09-03 13:04:07.708100,13,2,639,medium,0
txn_000070,user_6067,89.23,Crypto Exchange,food,2025-08-22 09:32:07.708109,9,4,683,medium,0
txn_000071,user_3085,23.06,Target,grocery,2025-08-23 09:35:07.708120,9,5,197,medium,0
txn_000072,user_3851,17.49,Crypto Exchange,grocery,2025-08-24 23:57:07.708128,23,6,631,high,0
txn_000073,user_5700,40.12,McDonalds,grocery,2025-08-28 00:19:07.708136,0,3,216,medium,0
txn_000074,user_8238,8.59,Online Casino,other,2025-08-25 10:29:07.708144,10,0,453,high,0
txn_000075,user_2389,80.0,Shell Gas,cash,2025-08-20 23:10:07.708151,23,2,291,high,0
txn_000076,user_4848,82.02,Crypto Exchange,other,2025-09-04 02:52:07.708158,2,3,689,medium,0
txn_000077,user_5011,4.87,Shell Gas,entertainment,2025-09-10 00:02:07.708168,0,2,487,high,1
txn_000078,user_4185,217.71,Walmart,electronics,2025-09-01 20:36:07.708176,20,0,736,high,0
txn_000079,user_1090,74.97,Best Buy,electronics,2025-09-02 07:09:07.708184,7,1,915,low,0
txn_000080,user_8611,12.08,Best Buy,entertainment,2025-09-09 22:33:07.708192,22,1,52,high,0
txn_000081,user_8612,1.28,Shell Gas,food,2025-08-31 04:51:07.708200,4,6,684,high,1
txn_000082,user_9270,85.49,ATM Withdrawal,other,2025-09-04 14:39:07.708208,14,3,437,high,0
txn_000083,user_5246,62.35,Grocery Store,gas,2025-08-22 15:28:07.708216,15,4,770,low,0
txn_000084,user_4919,662.83,Crypto Exchange,gambling,2025-08-21 16:31:07.708223,16,3,282,medium,0
txn_000085,user_6238,747.61,Walmart,gambling,2025-09-07 08:21:07.708231,8,6,915,high,1
txn_000086,user_3503,4.85,Walmart,gas,2025-09-10 07:24:07.708238,7,2,724,low,0
txn_000087,user_8633,23.19,Walmart,grocery,2025-09-01 10:34:07.708246,10,0,426,low,0
txn_000088,user_1320,7.16,Shell Gas,grocery,2025-09-02 18:44:07.708253,18,1,878,high,0
txn_000089,user_7389,100.43,Best Buy,electronics,2025-09-14 11:19:07.708263,11,6,874,medium,0
txn_000090,user_4595,100.0,ATM Withdrawal,cash,2025-08-17 07:31:07.708270,7,6,280,medium,0
txn_000091,user_7624,49.82,Grocery Store,retail,2025-09-02 10:42:07.708280,10,1,742,low,0
txn_000092,user_7455,21.09,Grocery Store,gas,2025-08-26 17:01:07.708287,17,1,607,high,0
txn_000093,user_3223,4.28,Crypto Exchange,retail,2025-09-12 20:27:07.708295,20,4,888,medium,0
txn_000094,user_4467,19.62,Starbucks,retail,2025-09-06 12:20:07.708303,12,5,466,medium,0
txn_000095,user_2341,20.67,Target,grocery,2025-09-06 13:16:07.708310,13,5,482,low,0
txn_000096,user_2124,20.0,Unknown Merchant,cash,2025-08-15 11:14:07.708317,11,4,800,high,0
txn_000097,user_1333,66.39,Amazon,retail,2025-08-15 07:12:07.708325,7,4,637,low,0
txn_000098,user_4571,51.74,Shell Gas,gas,2025-08-30 21:07:07.708332,21,5,477,high,0
txn_000099,user_2876,1101.13,McDonalds,crypto,2025-09-09 19:38:07.708340,19,1,797,low,1
txn_000100,user_6111,32.95,McDonalds,food,2025-08-27 00:59:07.708348,0,2,590,high,1
txn_000101,user_2245,7.37,Best Buy,grocery,2025-08-15 22:12:07.708356,22,4,607,high,0
txn_000102,user_5941,63.46,Crypto Exchange,entertainment,2025-09-11 22:49:07.708363,22,3,871,high,0
txn_000103,user_1672,72.52,Online Casino,food,2025-08-20 18:50:07.708371,18,2,356,high,0
txn_000104,user_6590,421.94,Best Buy,crypto,2025-09-12 16:41:07.708378,16,4,13,medium,0
txn_000105,user_8532,74.69,Grocery Store,food,2025-09-01 11:40:07.708386,11,0,725,low,0
txn_000106,user_5425,35.04,Best Buy,gas,2025-08-22 16:41:07.708393,16,4,631,high,0
txn_000107,user_5397,37.98,Grocery Store,electronics,2025-09-01 23:37:07.708401,23,0,331,low,0
txn_000108,user_8613,288.91,Walmart,gambling,2025-08-17 14:15:07.708409,14,6,584,high,1
txn_000109,user_6325,2.29,Crypto Exchange,grocery,2025-09-04 00:31:07.708417,0,3,187,medium,0
txn_000110,user_5581,67.08,Shell Gas,crypto,2025-08-20 08:21:07.708429,8,2,902,high,1
txn_000111,user_4130,25.97,Unknown Merchant,gambling,2025-08-28 00:33:07.708436,0,3,88,low,0
txn_000112,user_4937,51.59,Unknown Merchant,grocery,2025-08-30 17:48:07.708444,17,5,708,medium,0
txn_000113,user_5820,19.87,Crypto Exchange,electronics,2025-08-31 00:05:07.708451,0,6,227,medium,0
